frame,timestamp,gaze,gx,gy,status,iris_quality
1,0.06,center,-0.015651428706011217,0.08010245996606996,OK,
2,0.12,center,-0.055988685690574136,0.07954346578846849,OK,
3,0.18,center,-0.04345376843417559,0.06098927638075391,OK,
4,0.24,center,-0.048660319061731516,0.06384444164196984,OK,
5,0.3,center,-0.03601401215491007,0.0487460702203697,OK,
6,0.36,center,-0.03104432540760038,0.04613829488670673,OK,
7,0.42,center,-0.0219622319237176,0.04576277164102582,OK,
8,0.48,center,-0.02297517585980824,0.037048263677071036,OK,
9,0.5399999999999999,center,-0.03049605021036428,0.04542135732420194,OK,
10,0.6,center,-0.037004086998428276,0.06783345612566338,OK,
11,0.6599999999999999,center,-0.023229145614920177,0.07664967662046768,OK,
12,0.72,center,-0.02553638290461624,0.057864844519954245,OK,
13,0.7799999999999999,center,-0.035993042818228904,0.06719392849224518,OK,
14,0.84,center,-0.04351181230935386,0.08691864940208083,OK,
15,0.8999999999999999,center,-0.04407078202883863,0.10221339968288959,OK,
16,0.96,center,-0.02925308658865755,0.10551636717749865,OK,
17,1.02,center,-0.029981401529023843,0.08953648150390817,OK,
18,1.0799999999999998,center,-0.027290470678523304,0.08746015268991894,OK,
19,1.14,center,-0.048209535777501755,0.1090000867911243,OK,
20,1.2,center,-0.05361984713267831,0.1050996625677677,OK,
21,1.26,center,-0.042659145584460156,0.10542458505208283,OK,
22,1.3199999999999998,center,-0.02556552717645222,0.07765446751868868,OK,
23,1.38,center,-0.0258455679552948,0.05815745304210862,OK,
24,1.44,center,-0.040170887990994664,0.0845470877191617,OK,
25,1.5,center,-0.04086652152377679,0.08850022092244966,OK,
26,1.5599999999999998,center,-0.03902503953757941,0.0881917439860814,OK,
27,1.6199999999999999,center,-0.032697007344532514,0.08463736537263458,OK,
28,1.68,center,-0.03975617841356771,0.07845343942487695,OK,
29,1.7399999999999998,center,-0.027839963600456152,0.0572539905157223,OK,
30,1.7999999999999998,center,-0.032913456417973164,0.04887011256430676,OK,
31,1.8599999999999999,center,-0.022493308327161787,0.06102383685655546,OK,
32,1.92,center,-0.04188652362821432,0.08201070305875391,OK,
33,1.9799999999999998,center,-0.036367524345267355,0.07791688938996671,OK,
34,2.04,center,-0.03510578135922682,0.07331383719633466,OK,
35,2.0999999999999996,center,-0.04654970135731462,0.07119599665752474,OK,
36,2.1599999999999997,center,-0.04894984871322061,0.08627628122897268,OK,
37,2.2199999999999998,center,-0.057057965756918794,0.07756364424116297,OK,
38,2.28,center,-0.0432251925920375,0.0716953670701739,OK,
39,2.34,center,-0.04208676061148864,0.08479227442519036,OK,
40,2.4,center,-0.0631319347517928,0.09409305383165309,OK,
41,2.46,center,-0.05516337562259377,0.08246761596790458,OK,
42,2.52,center,-0.04275527413306357,0.07339448138128526,OK,
43,2.5799999999999996,center,-0.046939269869929134,0.0817966002015306,OK,
44,2.6399999999999997,center,-0.06000367015372543,0.08788086512606061,OK,
45,2.6999999999999997,center,-0.057536266422636206,0.08089100527317922,OK,
46,2.76,center,-0.06480178840666428,0.07707891466157529,OK,
47,2.82,center,-0.06810545476919005,0.07843969425440184,OK,
48,2.88,center,-0.05963240121836877,0.0785715289643665,OK,
49,2.94,center,-0.04923808019124598,0.07736726659848953,OK,
50,3.0,center,-0.07020655985140789,0.07998048797907115,OK,
51,3.0599999999999996,center,-0.06107271039004292,0.09171468819400377,OK,
52,3.1199999999999997,center,-0.0808146345429579,0.0890502287619751,OK,
53,3.1799999999999997,center,-0.0770964654823123,0.07441903154537888,OK,
54,3.2399999999999998,center,-0.08041606719958616,0.06984761833076036,OK,
55,3.3,center,-0.079816715492664,0.07040549505934302,OK,
56,3.36,center,-0.09158315856347299,0.08713771990050309,OK,
57,3.42,center,-0.08842840279116304,0.07490670905809732,OK,
58,3.4799999999999995,center,-0.08854245480107958,0.08571815748760628,OK,
59,3.5399999999999996,center,-0.07763612300443523,0.07238378308249868,OK,
60,3.5999999999999996,center,-0.0856799012155185,0.07511559310220836,OK,
61,3.6599999999999997,center,-0.0832388517601691,0.08523997399036942,OK,
62,3.7199999999999998,center,-0.08544392462140371,0.08575758427079533,OK,
63,3.78,center,-0.08275858595270891,0.0925327962364603,OK,
64,3.84,center,-0.07978880107532316,0.07365391952257272,OK,
65,3.9,center,-0.09025163410973458,0.08879179914870175,OK,
66,3.9599999999999995,center,-0.08378273972430372,0.09847747305637869,OK,
67,4.02,center,-0.07558467489827847,0.08942092207316735,OK,
68,4.08,center,-0.09108312015354003,0.07555795735595394,OK,
